volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.14064029,0.11111532,0.096842304,0.12804855,0.09880266,0.0989143,0.085741535,0.12710762,0.11278734
0.15208761,0.10115949,0.09905933,0.11398651,0.10562904,0.09877262,0.088065356,0.12838674,0.112853386
0.16378753,0.088819265,0.10039109,0.10493997,0.10511866,0.1061592,0.09249715,0.124465555,0.11382156
0.15635641,0.096351355,0.10639954,0.11882742,0.10558144,0.0975744,0.08269599,0.12528913,0.11092427
0.17531227,0.08221021,0.10616927,0.116995975,0.110245496,0.09272017,0.09214243,0.11433546,0.10986867
0.16099755,0.09197227,0.119019225,0.10281576,0.12133579,0.09591694,0.100712396,0.10841967,0.098810434
0.15138164,0.08370923,0.12504666,0.10927011,0.114857085,0.09935357,0.11481219,0.09931753,0.10225206
0.15976213,0.08288898,0.11822935,0.11565284,0.13152015,0.08476048,0.09895564,0.09847245,0.10975799
0.15856512,0.07511731,0.10938906,0.116757445,0.12850052,0.09889293,0.09615018,0.1073101,0.10931731
0.15730575,0.07428168,0.11978576,0.11569322,0.11721952,0.09816931,0.10347971,0.10991267,0.10415227
0.14226934,0.07435768,0.113959976,0.12782854,0.12267467,0.1006542,0.103159286,0.11025947,0.10483696
0.14009851,0.07567327,0.102353826,0.118374646,0.11499597,0.10808063,0.112276815,0.121013395,0.10713282
0.123270035,0.082567185,0.10336058,0.14053482,0.11160341,0.111381136,0.104382016,0.11794045,0.104960345
0.13550109,0.09747635,0.105995774,0.118953876,0.114440985,0.10762181,0.112009905,0.10235234,0.10564788
0.12728475,0.108068205,0.097184755,0.13270605,0.12306195,0.12115179,0.09532066,0.10075212,0.09446976
0.13164066,0.10813086,0.12930332,0.12867455,0.107438184,0.110964224,0.07895635,0.10669014,0.09820167
0.14487381,0.121050216,0.11640934,0.13237321,0.09967796,0.11408043,0.08112582,0.098291196,0.092118084
0.13717076,0.10767793,0.10874698,0.13393228,0.10686236,0.1255418,0.0823466,0.09943543,0.0982858
0.12447533,0.12225257,0.11987376,0.11751442,0.09854568,0.12055016,0.092574835,0.09160282,0.112610415
0.13084835,0.11993529,0.12573496,0.10738833,0.103700146,0.10336198,0.0995608,0.10347522,0.10599488
0.12849346,0.13092107,0.1200426,0.12449645,0.09778319,0.10663709,0.097822696,0.093065836,0.100737624
0.122642204,0.13633001,0.12433948,0.111181006,0.10536032,0.11409405,0.097409375,0.08865344,0.09999018
0.13117541,0.13996352,0.11840054,0.09671895,0.11431718,0.11690343,0.09113828,0.08949396,0.10188864
0.10812968,0.14162949,0.10889599,0.09591985,0.11671436,0.11016942,0.09199063,0.10441708,0.122133516
0.11073218,0.1331263,0.10769329,0.0951124,0.10635657,0.106954314,0.100812174,0.11589953,0.1233132
0.10267186,0.12739697,0.1049288,0.09871523,0.10812752,0.09989945,0.11910593,0.114218876,0.12493538
0.0980009,0.118794255,0.11046728,0.08789859,0.12069899,0.106600575,0.11537996,0.115260884,0.1268986
0.09192196,0.12562495,0.107670605,0.092035376,0.10400859,0.118415244,0.11897435,0.123589635,0.117759295
0.114722624,0.12124085,0.09584865,0.10242523,0.10845279,0.10742449,0.11814795,0.121104464,0.11063301
0.11316486,0.11979808,0.0899399,0.10045547,0.1199334,0.10734017,0.123079814,0.11729366,0.108994715
0.10348482,0.110092565,0.09687052,0.09595134,0.13689382,0.09985317,0.11086849,0.11845132,0.12753399
0.12791854,0.106795214,0.09083076,0.09822004,0.12416566,0.10167524,0.10766034,0.12354396,0.119190186
0.12297024,0.09624134,0.09588464,0.09372752,0.11927378,0.10702849,0.118746616,0.1256442,0.120483145
0.12746786,0.08758389,0.10127165,0.10774975,0.122795016,0.10314285,0.109886594,0.11612242,0.12397994
0.13609949,0.10384319,0.09898475,0.1008988,0.11608639,0.10549863,0.11314095,0.119477995,0.10596984
0.13381806,0.11017396,0.1013712,0.09964714,0.123427644,0.11517947,0.10318928,0.117633045,0.095560156
0.14633815,0.11281782,0.096957736,0.11184256,0.112486154,0.10909009,0.104019865,0.11456783,0.09187986
0.14809892,0.10735246,0.114869684,0.10837141,0.12773378,0.0990135,0.08636501,0.10836286,0.099832356
0.14649177,0.11498672,0.10461589,0.09554663,0.136469,0.10374125,0.09475779,0.10457849,0.09881247
0.14711367,0.10931494,0.11824235,0.103681445,0.11752852,0.09781412,0.08571708,0.096402116,0.12418575
0.16437408,0.111161694,0.10916458,0.096967645,0.12878256,0.09393693,0.08455763,0.09566992,0.11538512
0.1261309,0.12250176,0.118513584,0.12590624,0.13726023,0.094166085,0.089016765,0.088628024,0.09787644
0.11969769,0.13236275,0.11393562,0.11634141,0.1345287,0.10731908,0.08118925,0.096275344,0.09835016
0.11143841,0.126204,0.11875621,0.11951089,0.1307068,0.09715616,0.08851751,0.11691602,0.09079396
0.10984411,0.1138032,0.120392434,0.123991445,0.13886395,0.100343265,0.08440373,0.117328316,0.0910295
