volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.20866239,0.15111151,0.20325013,0.21727234,0.18367347,0.26072878,0.2450584,0.1781572,0.21588147
0.22381525,0.160147,0.18625176,0.20143913,0.17494468,0.21955837,0.22384392,0.19442089,0.20799509
0.21349937,0.19136491,0.18387347,0.21526474,0.17969349,0.21437228,0.23088269,0.18262127,0.23479952
0.21008068,0.18958017,0.20796648,0.22187348,0.18077457,0.2178852,0.2307828,0.18121871,0.24025548
0.21398081,0.18576267,0.20616917,0.21110733,0.18116921,0.23935977,0.23688325,0.19286989,0.23193449
0.21606956,0.17706005,0.19831005,0.204407,0.16258547,0.21281056,0.22753635,0.18116237,0.23376335
0.20894009,0.18026653,0.19998433,0.22618192,0.16527992,0.2310188,0.20143215,0.19933571,0.23196617
0.20084967,0.18906145,0.20407948,0.21998808,0.17545119,0.23409374,0.1998073,0.20396021,0.23842302
0.2054102,0.19177105,0.18783726,0.19426142,0.16190508,0.24241875,0.18980518,0.1951217,0.21194036
0.19881704,0.18864037,0.16222952,0.21259764,0.16885221,0.23119116,0.16416918,0.18570068,0.2133276
0.20285816,0.18720543,0.1591406,0.18025564,0.17370978,0.20854037,0.15841225,0.19206615,0.20527153
0.20616162,0.20055799,0.1627893,0.18736179,0.1812867,0.20167992,0.14190519,0.20046853,0.23444965
0.1985468,0.16330898,0.15265545,0.1857776,0.17720181,0.21660194,0.14869183,0.1823802,0.2042461
0.1995006,0.1783317,0.15409131,0.2088176,0.18082687,0.24979435,0.14449738,0.1706951,0.2118952
0.20038113,0.16846628,0.15121332,0.19646555,0.16905116,0.2119819,0.17813854,0.19123042,0.20892625
0.21217658,0.17706788,0.13552111,0.2120953,0.16788453,0.20327385,0.16524857,0.18935059,0.21418612
0.2243807,0.19339962,0.17118637,0.21691227,0.19281669,0.19902772,0.16920385,0.18681526,0.20032442
0.23447189,0.183827,0.12941328,0.21110158,0.18826994,0.22953373,0.16501701,0.17846307,0.19957748
0.27047372,0.18657158,0.1449605,0.19139759,0.18376032,0.21875851,0.1813151,0.19194195,0.20004493
0.25043762,0.19235927,0.14275934,0.17636976,0.1728653,0.22535206,0.19323136,0.16950233,0.20813061
0.2585707,0.18144855,0.14711273,0.17957896,0.1706678,0.2524114,0.20557906,0.16905417,0.20159917
0.27358967,0.17199121,0.14495488,0.18976647,0.1541798,0.23830202,0.19134764,0.1590914,0.23475769
0.25226268,0.17656267,0.1534113,0.15950246,0.17979348,0.24683794,0.20453152,0.15481567,0.20727254
0.29761264,0.17058462,0.18984057,0.15862942,0.20925009,0.25908977,0.18808217,0.15256447,0.19562729
0.294413,0.19161233,0.15790553,0.17020655,0.20381135,0.27618274,0.16010231,0.13906342,0.2105952
0.30983064,0.16736183,0.14278668,0.16029434,0.21629547,0.26144105,0.19390666,0.15672259,0.23664871
0.28283763,0.24184887,0.14871435,0.17471132,0.20335358,0.2332438,0.1775533,0.12546347,0.21079665
0.26612112,0.16275479,0.14476247,0.17796147,0.21106774,0.23455243,0.17952687,0.12975983,0.2180114
0.26868007,0.16473557,0.13946953,0.14722311,0.2142715,0.2433178,0.16393484,0.13004895,0.2103141
0.26439607,0.15602669,0.14279673,0.15689263,0.24156566,0.22306477,0.16879945,0.15497832,0.19711792
0.25083652,0.18333277,0.16404867,0.16692673,0.25763208,0.2001116,0.16015932,0.16099936,0.21299478
0.25542423,0.15748128,0.14884211,0.18139987,0.26617897,0.19139975,0.18519211,0.17183639,0.19267681
0.24557742,0.17563456,0.15592688,0.18708602,0.2495225,0.1812135,0.17776495,0.1684601,0.19056341
0.22108673,0.16637684,0.1489987,0.19362064,0.24109161,0.18621881,0.16927616,0.17418501,0.18960589
0.20249115,0.15334181,0.16340515,0.17513433,0.25473407,0.17528126,0.16740109,0.20006184,0.18407974
0.2094219,0.16300322,0.17515156,0.19731991,0.27103606,0.18157798,0.1820063,0.18691406,0.17860329
0.21300997,0.18094583,0.16531427,0.19402768,0.27967292,0.16529396,0.16655165,0.18855853,0.17265075
0.20265095,0.20074373,0.20320217,0.21128531,0.24957748,0.17472367,0.17264777,0.18219858,0.16413094
